Contestant,Question,Label
Ramona Singer and Angela Haslach,"Though you'd never know it, I have two teenage daughters, whose names are what?",in-situ
Ramona Singer and Angela Haslach,"Though it sounds like something much nastier, Crappie World is actually a magazine devoted to a type of what?",in-situ
Randy and Amy Knopf,"Very similar people are said to be ""cut from the same"" what?",in-situ
Randy and Amy Knopf,Which of the following is slang for a U.S. dollar?,wh-subject
Randy and Amy Knopf,"Which of the following means ""to perform written music without preparation""?",wh-subject
Randy and Amy Knopf,A person usually tests the temperature of a baby's formula by sprinkling it where on his body?,in-situ
Randy and Amy Knopf,Which of these medical professionals would you see to take care of your bridgework?,ex-situ
Randy and Amy Knopf,Which of these cooking utensils is commonly used to drain spaghetti?,wh-subject
Randy and Amy Knopf,"The 2001 movie ""Ocean's Eleven"" features an elaborate plot to rob what?",in-situ
Randy and Amy Knopf,The Carrera and the Boxster are makes by what luxury car manufacturer?,in-situ
Randy and Amy Knopf,The five-mile-long Mackinac Bridge is in what U.S. state?,in-situ
Randy and Amy Knopf,"What element is also known by its Latin name, ""Kalium""?",wh-subject
Randy Everson,"According to a popular saying, ""You should not air your"" what ""in public""?",in-situ
Randy Everson,"Which of the following body parts do you need to give someone a ""high-five""?",ex-situ
Randy Everson,Tupperware containers are made from what material?,in-situ
Randy Everson,Which of the following refers to a painting done on the surface of a wall?,wh-subject
Randy Everson,"What branch of the U.S. military recruits members with the slogan ""Be all that you can be""?",wh-subject
Randy Everson,Which of the following is not a variety of lettuce?,wh-subject
Randy Everson,"In May 2000, The Artist Formerly Known as Prince announced he will now be known as what?",in-situ
Randy Everson,"In ancient Rome, a centurion was a kind of what?",in-situ
Randy Everson,Which of the following elements did Marie Curie and her husband Pierre discover?,ex-situ
Randy Everson,"In June 2000, President Clinton recognized what comic strip artist with a Congressional Gold Medal?",in-situ
Randy Everson,Which of the following countries does not border Russia?,wh-subject
Randy Everson,Which of the following women reigned as Queen of France and then Queen of England?,wh-subject
Randy Gibbs,"In the media, ABC, CBS, NBC and FOX are commonly referred to as the ""Big Four"" what?",in-situ
Randy Gibbs,Which of these jackets is designed to restrict a person's arm movements?,wh-subject
Randy Gibbs,Yogi Bear is often depicted swiping pic-a-nic baskets in what fictional park?,in-situ
Randy Gibbs,"Reserving the front passenger seat of a car is slangily known as ""calling"" what?",in-situ
Randy Gibbs,"Who won a Grammy in 1997 for best Latin pop performance, nine years after his father Julio had won it?",wh-subject
Randy Gibbs,"In a classic episode of ""Seinfeld,"" what 1996 movie does Elaine describe as a ""stupid story about the stupid desert""?",ex-situ
Randy Gibbs,"Qantassaurus, a dinosaur whose fossils were discovered in 1996, is named after a well-known what?",in-situ
Randy Gibbs,A person who cuts and installs glass for a living is called a what?,in-situ
Randy Gibbs,"In terms of square milage, which of these Middle Eastern countries is the largest?",wh-subject
Randy Gibbs,"In 1968, author William Styron won a Pulitzer Prize for his controversial book ""The Confessions of"" whom?",in-situ
Randy Reetz,Which of these toys most resembles a steel spring?,wh-subject
Randy Reetz,"A person who foolishly attempts a treacherous stunt is said to be ""flying in the face of"" what?",in-situ
Randy Reetz,"The formal uniform for which of these groups is called ""dress whites""?",in-situ
Randy Reetz,The Big Dipper is a constellation that most resembles what kitchen tool?,in-situ
Randy Reetz,"In his famous experiment, scientist Ivan Pavlov conditioned dogs to do what at the sound of a bell?",in-situ
Randy Reetz,"The Flowbee, a device that attaches to a vacuum cleaner, is used for what purpose?",in-situ
Randy Reetz,"Aside from the U.S. president, what other official can pardon criminals?",wh-subject
Randy Reetz,"The site of protests in April 2001, what city hosted the Summit of the Americas trade meeting?",wh-subject
Randy Reetz,Macaroon cookies are traditionally made with which of the following ingredients?,in-situ
Randy Reetz,What year is the title of a 1995 song by the music group the Smashing Pumpkins?,wh-subject
Randy Rice,"""Rollin' with some Cajun queen"" is a lyric from the Creedence Clearwater Revival song ""Born on the"" what?",in-situ
Randy Rice,"An ""intexticated"" person has most likely used which of these brands to the point of ignoring one's surroundings?",in-situ
Randy Rice,"A technique used to help a group locate food, the waggle dance is employed by which of these creatures?",in-situ
Randy Rice,"What legendary performer played pianist Chandell and his evil twin harry on the 1960s TV series ""Batman""?",wh-subject
Randy Rice,Pixar has won Academy Awards for all but which of the following?,in-situ
Randy Rice,A customer reportedly charged a $52 million private jet to the limit-free American Express card that goes by what nickname?,in-situ
Randy Rice,Which of these cable channels shares its name with a phase of litigation that happens before a trial?,wh-subject
Randy Rice,"Made of wood and iron hoops in 1775, the Turtle was America's first what?",in-situ
Randy Shane,"Someone who is said to be getting some ""shut-eye"" is doing what?",in-situ
Randy Shane,"To extend the Christmas shopping season, FDR made the unpopular decision to hold what holiday a week earlier in 1939?",in-situ
Randy Shane,What classic Baskin-Robbins ice cream flavor has crushed Oreos in it?,wh-subject
Randy Shane,"As suggested by their name, snowball plants are prized for their round clusters of flowers with what color petals?",in-situ
Randy Shane,Which of these sports usually has separate divisions for left-handed and right-handed people?,wh-subject
Randy Shane,What continent's sub-Saharan region is home to the majority of its countries?,wh-subject
Randy Shane,"In 2006, what legendary axeman was whisked to a New Zealand hospital after reportedly falling out of a coconut tree in Fiji?",wh-subject
Randy Shane,Which of these historic years in American history is a prime number?,wh-subject
Randy Shane,"The Ambassador Bridge is a major border crossing that connects Windsor, Ontario to what U.S. city?",in-situ
Randy Shane,"What U.S. author pitched his first novel to a publisher by saying ""It's about a kid in New York during the Christmas holidays""?",wh-subject
Randy Shane,"What type of protein, used to provide structure to connective tissue, is the most abundant protein in the human body?",wh-subject
Randy Tomassi,Which of the following divides a regulation tennis court in half?,wh-subject
Randy Tomassi,"In a deck of playing cards, the card picturing a court jester is called what?",in-situ
Randy Tomassi,"In which of these kitchen appliances would you ""nuke"" leftover food?",ex-situ
Randy Tomassi,"According to Emily Post, who traditionally dances with the bride first at the wedding reception?",wh-subject
Randy Tomassi,"If a person from England asks you for ""petrol,"" what does he want?",ex-situ
Randy Tomassi,Which of the following animals is considered an amphibian?,wh-subject
Randy Tomassi,"In the 2000 movie ""Meet the Parents,"" what kind of test does the father give to his daughter's boyfriend?",ex-situ
Randy Tomassi,"Italian dishes served ""al pomodoro"" are made with what kind of sauce?",in-situ
Randy Tomassi,"What Texas city was nearly destroyed by a massive hurricane on September 8, 1900?",wh-subject
Randy Tomassi,"In 2000, Sandra Baldwin became the first female president of what organization?",in-situ
Randy Tomassi,Which of the following actors has not had a recurring role on a daytime soap opera?,wh-subject
Randy Tomassi,What book ranked #1 on The Board of the Modern Library's 100 best novels of the 20th Century?,wh-subject
Raven Diltz,"Which of these is an emoticon used to say ""Got my headphones on""?",wh-subject
Raven Diltz,"In a move that Grammy presenters should appreciate, the singer Ella Marija Lani Yelich-O'Connor goes by what simple stage name?",in-situ
Raven Diltz,"In 2014, Saturn was under close watch as its rings began to give birth to potential new what, affectionately nicknamed ""Peggy""?",in-situ
Ray Prybylski and Kathleen Kelly,What piece of medical equipment closely resembles a Popsicle stick?,wh-subject
Ray Prybylski and Kathleen Kelly,A plumber is most likely to do repairs in which of these household areas?,in-situ
Ray Prybylski and Kathleen Kelly,"On a farm, horses are usually kept where?",in-situ
Ray Prybylski and Kathleen Kelly,"In U.S. currency, a penny is worth what fraction of a dollar?",in-situ
Ray Prybylski and Kathleen Kelly,What article of clothing does cereal mascot Tony the Tiger wear?,ex-situ
Ray Prybylski and Kathleen Kelly,"The children's book ""Peter Pan"" features a menacing crocodile that has swallowed what object?",in-situ
Ray Prybylski and Kathleen Kelly,Who portrayed the singer Selena in the 1997 film based on her life?,wh-subject
Ray Romano,"According to the proverb, what kind of man is hard to find?",wh-subject
Ray Romano,What can chameleons change?,ex-situ
Ray Romano,"According to its advertising campaign, what candy ""melts in your mouth, not in your hand""?",wh-subject
Ray Romano,On what part of Arnold Schwarzenegger's body would you find his huge pectoral muscles?,ex-situ
Ray Romano,Which of the following automobiles features a horse on its grille?,wh-subject
Ray Romano,"In the title of the popular Jimmy Buffett song, what is eaten ""in paradise""?",wh-subject
Ray Romano,"On the TV series ""Murphy Brown,"" who is replaced in almost every episode?",wh-subject
Ray Romano,What is the Italian dish polenta?,wh-subject
Ray Romano,What three initials adorn most zippers?,wh-subject
Ray Romano,What real-life character did Angela Bassett not play?,ex-situ
Ray Romano,"What river separates Minneapolis and St. Paul, Minnesota?",wh-subject
Ray Romano,"According to a feminist slogan, ""A woman without a man is like a fish without a"" what?",in-situ
Ray Romano,What is the capital of the Republic of Georgia?,wh-subject
Ray Romano,Which of the following is most likely to be a baby's first word?,wh-subject
Ray Romano,Tiny plastic submarines and aircraft carriers are among the pieces included with what classic board game?,in-situ
Ray Romano,Four varieties of vinaigrette are sold by a food brand with what apt name?,in-situ
Ray Romano,"A play on Sputnik, ""muttnik"" was the nickname of a famous dog who was sent where?",in-situ
Ray Romano,The Hotlanta Half Marathon is an annual race in which competitors run thirteen miles through the streets of what state's capital city?,in-situ
Ray Romano,"In 2020, Discover Magazine explored memes in popular culture with an article titled ""Why We Can't Stop Talking About"" what women's name?",in-situ
Ray Romano,"As a wink to history, the hold music you hear when calling the Watergate Hotel is often excerpts of speeches made by what U.S. president?",in-situ
Ray Romano,Spike Lee typically refers to his films as what?,in-situ
Ray Romano,"In 2020, a popular TikTok meme involved users slamming the doors of their kitchen cabinets to ""recreate"" the drum solo from what Phil Collins song?",in-situ
Ray Romano,A doctor would most likely give you an injection of Pitocin if you were what?,in-situ
Ray Romano,"On a map of Europe, there is one country that begins with, and another one that ends with, which of these 3-letter words?",in-situ
Ray Romano,"In the 2020 documentary series ""The Last Dance"", Michael Jordan said, ""Oh, I hated 'em. And that hate carries even to this day"" about which of his rivals?",in-situ
Ray Romano,"To bring luck in the coming year, Italians traditionally do which of the following on New Year's Eve?",in-situ
Ray Romano and Brad Garrett,"To protect it from the frigid Pacific waters, what creature has the densest fur of any mammal -- approximately one million hairs per square inch?",wh-subject
Ray Romano and Brad Garrett,"Frustrated by servants who kept chipping her delicate china during cleanup, socialite Josephine Cochrane invented the modern version of what appliance?",in-situ
Ray Romano and Brad Garrett,"Actors Tom Holland, Andrew Garfield, and Tobey Maguire reportedly have a group chat they've given what fitting name?",in-situ
Ray Romano and Brad Garrett,"In 2023, a New York Times article titled ""I Thee -- Untz Untz -- Wed"" examined the growing popularity of what music at weddings?",in-situ
Ray Romano and Brad Garrett,"In tennis, which of these apt nicknames refers to a set ending in a score of 6-0?",wh-subject
Ray Romano and Brad Garrett,"A common site for cosmetic injections, the glabella is located where on the body?",in-situ
Ray Romano and Brad Garrett,"The final two words of George Orwell's classic novel ""1984"" are also the title of what popular reality TV show?",in-situ
Ray Romano and Brad Garrett,"In the 2024 movie ""Furiosa: A Mad Max Saga,"" Anya Taylor-Joy plays the title character, a role previously portrayed by which of these actresses?",in-situ
Ray Romano and Brad Garrett,"Thanks to an errant social media post, many people believe that the airport in what city has a help desk for travelers who meant to fly to Australia?",in-situ
Ray Romano and Brad Garrett,"According to a 2021 review, the premiere of what TV series featured ""Peloton's most unfortunate product placement""?",in-situ
Ray Romano and Brad Garrett,"An old-fashioned Scottish term that's having a moment, ""hurkle-durkling"" refers to doing what?",in-situ
Ray Romano and Brad Garrett,"Thought to be a nod to Einstein's Theory of Relativity, what famous painting was actually inspired by a plate of Camembert cheese melting in the sun?",wh-subject
Ray Romano and Brad Garrett,"To create a realistic-looking farm without using CGI, Christopher Nolan had a 500-acre cornfield planted in western Canada for which of his films?",in-situ
Raye Nakles,"Which of these common phrases is another way of saying ""hurry up""?",wh-subject
Raye Nakles,"At the 2005 Macy's Thanksgiving Day Parade, what ""big"" fruit appeared on a float celebrating the best of NYC?",wh-subject
Raye Nakles,Which of these everyday abbreviations includes a letter that stands for a day of the week?,wh-subject
Raye Nakles,"Meteorologists commonly use the word ""muggy"" to describe which of these weather conditions?",in-situ
Raye Nakles,"The popular children's rhyme that begins ""Fuzzy Fuzzy was a bear"" usually ends with what two words?",in-situ
Raye Nakles,"Which of these prefixes literally means ""occurring together""?",wh-subject
Raye Nakles,"Aimed at protecting homeowners, ""Make My Day"" laws are named after what movie character's best-known line?",in-situ
Raye Nakles,"Weighing close to three tons, one million pennies is equal to how many dollars?",in-situ
Raye Nakles,"Popular in France, a croque-monsieur is a heated sandwich traditionally filled with what?",in-situ
Raye Nakles,"One of the world's oldest airlines, KLM is the official carrier of what European country?",in-situ
Raye Nakles,"According to a 2006 New York Times poll, what author wrote the best work of American fiction of the last 25 years?",wh-subject
Raye Nakles,"How many U.S. state capitals have the word ""city"" in their name?",wh-subject
Raye Nakles,"Known for its loud call described as a ""honk bark,"" the highland mangabey is a newly-identified species of what?",in-situ
Rayland Farlough,"In 2007, the Rock and Roll Hall of Fame implemented a scholarship program for high school seniors planning to do what?",in-situ
Rayland Farlough,"Which of these historic persons has a surname that is synonymous with ""escape artist""?",wh-subject
Rayland Farlough,Which of these drugstore brands sounds like the name of the body part on which it is designed to be worn?,wh-subject
Rayland Farlough,"""Cockcrow"" is an old-fashioned word that refers to what time of day?",in-situ
Rayland Farlough,"Since 1963, ""To protect and to serve"" has been the official motto of which of these abbreviated organizations?",in-situ
Rayland Farlough,"In the Winnie-the-Pooh series of stories, what character is known for losing his tail?",wh-subject
Rayland Farlough,What U.S. national park is said to be home to more than half the world's geysers?,wh-subject
Rayland Farlough,Nutritionists use the glycemic index to rank foods based on how they affect a person's what?,in-situ
Rayland Farlough,"Which of these government buildings is located not in Washington, D.C., but in nearby Arlington, Virginia?",wh-subject
Rayland Farlough,"To mimic the distinctive style of his work, what poet's name is often printed entirely in lowercase letters?",wh-subject
Raymelle Greening,A person who is not a banker and lends money at an extremely high interest rate is known as what?,in-situ
Raymelle Greening,Which of the following is a common slang term for a tuxedo?,wh-subject
Raymelle Greening,A person who can eat spicy foods without feeling ill is said to have what kind of stomach?,in-situ
Raymelle Greening,Which of these musical instruments is not found in a traditional marching band?,wh-subject
Raymelle Greening,The name of which of these companies is properly spelled with a letter that is turned backwards?,in-situ
Raymelle Greening,"A layer of thin, transparent ice that forms on road surfaces is commonly called what?",in-situ
Raymelle Greening,"In a famous 1956 appearance on ""The Ed Sullivan Show,"" Elvis Presley was shot in what special way?",in-situ
Raymelle Greening,"In 2001, Colin Powell became the first African-American to be nominated to which of the following posts?",in-situ
Raymelle Greening,"In the 1992 movie ""White Men Can't Jump,"" Rosie Perez's character appears on what TV show?",in-situ
Raymelle Greening,What South American country has the longest coastline?,wh-subject
Raymelle Greening,What is the most popular first name for U.S. Presidents?,wh-subject
Raymelle Greening,"Which of these professionals would typically wear a ""surplice""?",wh-subject
Raymelle Greening,Multi-Grammy award winner Jimmy Sturr is known by what nickname?,in-situ
Raymelle Greening,The legendary King Midas was based on a real king who ruled over what ancient peoples?,in-situ
Rebecca Fox,"When eaten, which of these plants is poisonous to the animal that is mentioned in its name?",wh-subject
Rebecca Fox,"To avoid conflict with advertisers, obscuring or even creating an entirely fake label for a product on TV is known as what?",in-situ
Rebecca Fox,"Which of these beloved songs repeatedly features the lyric “Oh, la la la, de de da / La la, de de da, da da”?",wh-subject
Rebecca Fox,“Air Force Two” is the air traffic call sign given to any Air Force aircraft when what government official is onboard?,in-situ
Rebecca Fox,"Which of these fictional characters was never credentialed as a doctor in the novel that made him famous, picking up the title only after the movie version?",wh-subject
Rebecca Fox,A popular way of telling a person to relax is to say “Cool your” what?,in-situ
Rebecca Fox,"What travel guide company was purchased by Google in 2012, some 55 years after its “Europe on $5 a Day” became a bestseller?",wh-subject
Rebecca Kesler,"What reality TV show's 2009 finale featured a marriage proposal with a $60,000 engagement ring?",in-situ
Rebecca Kesler,"A popular candy store item, ""Twix PB"" are Twix bars with what added flavor?",in-situ
Rebecca Kesler,Which of the following is a classic men's toiletry brand and not one of the Spice Girls?,wh-subject
Rebecca Kesler,"Presumably named after the love of his life, ""The Olive"" is a boat that belongs to what cartoon character?",in-situ
Rebecca Kesler,"At a French restaurant, what type of beverage will you get if you order ""un citron pressé""?",ex-situ
Rebecca Kesler,"If ""ASAP"" is too long, text messengers can type what three-letter abbreviation to mean ""immediately""?",in-situ
Rebecca Kesler,"A medical device used to monitor blood oxygen levels, a pulse oximeter is almost always attached to what part of the body?",in-situ
Rebecca Kesler,"Sousaphone player Damon Bryson, a member of the ""Late Night"" hip-hop band The Roots, is fittingly known by what nickname?",in-situ
Rebecca Kesler,What world-famous building has a roof that was reportedly inspired by the sections of an orange?,wh-subject
Rebecca Kesler,"A psychopathic killer asks, ""What's the most you ever lost on a coin toss?"" in a chilling scene from what acclaimed movie?",in-situ
Rebecca Kesler,The Secret Service reportedly refer to Malia and Sasha Obama by what code names?,in-situ
Rebecca Kesler,"In 2009, the Presidency of the European Union was passed from the Czech Republic to Sweden with a symbolic handover of a what?",in-situ
Rebecca Taylor,"Seeking to discourage the local ""Singlish"" dialect, what country's government sponsors the ""Speak Good English Movement""?",wh-subject
Rebecca Taylor,"Though it's located along the Continental Divide, what former mining settlement is more famous for its signature dessert?",wh-subject
Rebecca Taylor,"Daredevil history was made when a jail guard nicknamed one prisoner ""Awful Knofel"" and dubbed his thrill-seeking prison mate what?",in-situ
Rebecca Taylor,"At Washington, D.C.'s Lincoln Memorial, the 16th President is seated in what position?",in-situ
Rebecca Taylor,"Flamingo Air helps passengers join the ""Mile High Club"" with a flight package that includes all but which of these amenities?",in-situ
Rebecca Wallihan,"In the mailing address abbreviation ""PO Box,"" what does ""PO"" stand for?",ex-situ
Rebecca Wallihan,"A person getting involved in a dangerous situation is said to be ""flirting with"" what?",in-situ
Rebecca Wallihan,"In the U.S., college fraternities and sororities are commonly named using letters from what alphabet?",in-situ
Rebecca Wallihan,"In a story from the ""Arabian Nights,"" what sort of creature grants wishes to Aladdin?",wh-subject
Rebecca Wallihan,"In golf, the time when players are scheduled to begin a standard game is called what?",in-situ
Rebecca Wallihan,Which of the following products is an emollient?,wh-subject
Rebecca Wallihan,What part of a cowboy's body are chaps meant to protect?,ex-situ
Rebecca Wallihan,"In 2000, Jean-Bertrand Aristide was re-elected the president of what country?",in-situ
Rebecca Wallihan,What movie actor shows off his dancing in a Fatboy Slim music video?,wh-subject
Rebecca Wallihan,What are the two main ingredients in marzipan?,wh-subject
Rebecca Wallihan,A bongo is what type of animal?,in-situ
Rebecca Wallihan,Which of these novels takes place in the fictional setting of Interzone?,wh-subject
Rebel Wilson,"Since 1875, which of these sporting events has always been won by a horse?",wh-subject
Rebel Wilson,"In the National Statuary Hall in the U.S. Capitol Building, Rosa Parks' statue depicts her doing what?",in-situ
Rebel Wilson,"Because it has a deodorizing effect on foul sulfur compounds, chewing parsley is a popular folk remedy for what?",in-situ
Rebel Wilson,"The headquarters of Levi Strauss & Co. is fittingly located in a building insulated by more than 25,000 pairs of recycled what?",in-situ
Rebel Wilson,"Located on Long Island, Peconic Escargot is the nation's largest USDA-certified farm for raising what animals?",in-situ
Rebel Wilson,"Knows to millions for her soothing inflection, Canadian mindfulness instructor Tamara Levitt is the ""voice"" of what popular app?",in-situ
Rebel Wilson,"Which planet is depicted on a jokey T-shirt that reads, ""If you like it put a ring on it""?",wh-subject
Rebel Wilson,"In 2020, scientists identified a wooded area near Marlborough, England as the likely source of giant slabs used in what famous landmark?",in-situ
Rebel Wilson,"In the last decade, five of the ten Academy Awards for Best Director have gone to someone born in which country?",in-situ
Rebel Wilson,"Though we now use it more broadly, the word ""chops"" was once specifically used to mean a ""high skill level"" in reference to whom?",in-situ
Rebel Wilson,"For the past five years, the Nathan's Famous Hot Dog Eating Contest has been won by a man with what last name?",in-situ
Rebel Wilson,"Which of the following is recognizable for its three four-pointed geometric shapes called ""hypocycloids""?",wh-subject
Rebel Wilson,"When the U.S. mint was established in 1792, legend has it that the first coins it produced were made from what?",in-situ
Rebel Wilson,"Of the fifteen tallest buildings in the world, more than half are in what country?",in-situ
Reece O'Dell,A lullaby is a song sung to babies to help them do what?,in-situ
Reece O'Dell,Which of the following would a plumber most likely be called to fix?,ex-situ
Reece O'Dell,"If something is excellent, it is said to be ""the cat's"" what?",in-situ
Reece O'Dell,What instrument measures and records the ground vibrations during an earthquake?,wh-subject
Reece O'Dell,"A popular animated Disney movie features an unlikely pair of animals, ""The Fox and the"" what?",in-situ
Reece O'Dell,"Who is the subject of the 1982 hit song by Frank Zappa and his daughter, Moon Unit?",wh-subject
Reece O'Dell,"In the South, deep-fried balls of cornmeal are called what?",in-situ
Reece O'Dell,"Crowned in October 2000, the winner of the 2001 Miss America pageant is from what state?",in-situ
Reece O'Dell,"What city is the main setting for Clint Eastwood's ""Dirty Harry"" films?",wh-subject
Reece O'Dell,Which of the following awards is officially known as the Antoinette Perry Award?,wh-subject
Reece O'Dell,Queen Beatrix is the current monarch of which of these nations?,in-situ
Reece O'Dell,"What poisonous element, used to make felt hats, most likely led to the phrase ""mad as a hatter""?",in-situ
Reece O'Dell,"During WWII, what Native American language was used as a secret code by the U.S. Army and Marine Corps?",wh-subject
Reece O'Dell,"In 1986, what artist painted a section of the Berlin Wall?",wh-subject
Reg Jones,The uncomfortable mental and physical symptoms known as a hangover typically result from excessive what?,in-situ
Reg Jones,"A common sports adage wisely observes that ""there is no"" what ""in team""?",in-situ
Reg Jones,"""Choosing a Dog Food"" is one of many articles featured on a Web site sponsored by which of these brands?",in-situ
Reg Jones,"Often heard in the news, the term ""carbon footprint"" refers primarily to the impact a person's lifestyle on the what?",in-situ
Reg Jones,"The 2008 film ""Mongol"" tells ""the untold story of"" what historic figure?",in-situ
Reg Jones,"Which of the following is the name of a current U.S. military leader and not the name of a character on ""Battlestar Galactica""?",wh-subject
Reg Jones,"In her commencement address to Stanford's Class of 2008, who said, ""I really wanted to give you cars""?",wh-subject
Reg Jones,"How many blackbirds are mentioned in the nursery rhyme ""Sing a Song of Sixpence""?",wh-subject
Reg Jones,"Because he funded the construction of thousands of them, philanthropist Andrew Carnegie is often called the patron saint of what?",in-situ
Reg Jones,"In the classic novel, Holden Caulfield imagines a ""catcher in the rye"" to be a figure who waves children from what fate?",in-situ
Reggie Watts and Ron Funches,"What David Fincher film features the line, ""If you guys were the inventors of Facebook, you'd have invented Facebook""?",wh-subject
Reggie Watts and Ron Funches,"A baby product with a grandiose name, Boudreaux's Butt Paste treats what pesky affliction?",in-situ
Reggie Watts and Ron Funches,"Thomas Jefferson says ""Crap, that's due tomorrow?"" on a funny T-shirt that suggests he said it on what day in 1776?",in-situ
Reggie Watts and Ron Funches,Which of these words comes last in a playful four-word expression used to describe a job that is simple to perform?,wh-subject
Reggie Watts and Ron Funches,"Despite having a name that means ""slacker,"" what animal's facial structure gives the illusion -- like all great slackers -- that it's always smiling?",wh-subject
Reggie Watts and Ron Funches,"Without using half dollars, what is the fewest number of U.S. coins that total 99 cents?",wh-subject
Reggie Watts and Ron Funches,"Often said to resemble the sails of a ship, what world landmark is known to rugby-loving locals as ""Nuns in a Scrum""?",wh-subject
Reggie Watts and Ron Funches,"Giving the parody treatment to two members of the same family, ""Weird Al"" Yankovic released ""Achy Breaky Song"" in 1993 and what song in 2011?",in-situ
Reggie Watts and Ron Funches,"""Reflector or refractor?"" is a conundrum people often grapple with when shopping for a what?",in-situ
Reggie Watts and Ron Funches,"The ""Mythbusters"" once mounted an M60 machine gun in the trunk of an old car to recreate the climatic scene of what TV drama's final episode?",in-situ
Reggie Watts and Ron Funches,"Tiana's Bayou Adventure, a long-awaited replacement for the now-shuttered Splash Mountain ride, is inspired by what animated Disney film?",in-situ
Reggie Watts and Ron Funches,"Calling it ""one of the top underappreciated travel destinations on Earth,"" Anthony Bourdain loved Uruguay and its famed chivito, the ""Everest of"" what?",in-situ
Reggie Watts and Ron Funches,"In the NATO phonetic alphabet that begins ""Alpha, Bravo, Charlie,"" what is the only letter represented by the name of a sport?",wh-subject
Tim Reilly,"If you churn cream, which of the following dairy products is produced?",wh-subject
Tim Reilly,How many spaces are there on a typical tic-tac-toe board?,wh-subject
Tim Reilly,"What does ""JAG"", the acronym for the military's legal branch, stand for?",ex-situ
Tim Reilly,"In the American Civil War, what was the most common color of a Union soldier's uniform?",wh-subject
Tim Reilly,Michael Jordan used to play for what professional basketball team?,in-situ
Tim Reilly,"What rank was Peter Sellers's bumbling French policeman, ""Clouseau""?",wh-subject
Tim Reilly,Actor Clint Eastwood was once the mayor of what seaside California town?,in-situ
Tim Reilly,"What composer of ""The Stars and Stripes Forever"" is known as the ""March King""?",wh-subject
Tim Reilly,"What was the name of the plane Charles Lindbergh flew on the first solo, non-stop, transatlantic flight?",wh-subject
Tim Reilly,What presidential candidate ran for office with Geraldine Ferraro as his vice presidential running mate?,wh-subject
Tim Reilly,What everyday product took its name from the founder of antiseptic surgery?,wh-subject
Tim Reilly,What state contains the easternmost point in the contiguous U.S.?,wh-subject
Tim Reilly,What impressionist painter's style of dot-like brush strokes was considered scandalous in his time?,in-situ
Rene Nortz,"What animated character's signature line is ""What's up, Doc?""?",wh-subject
Rene Nortz,"Where do ""candy stripers"" volunteer?",ex-situ
Rene Nortz,"Which of the following time periods is most likely worked by people on the ""graveyard shift""?",wh-subject
Rene Nortz,Which of the following cities is nicknamed the Big Apple?,wh-subject
Rene Nortz,The student who ranks second academically in his or her graduating class is traditionally known as what?,in-situ
Rene Nortz,"In mathematics, what is the name for the longest side of a right-angle triangle?",wh-subject
Rene Nortz,Vera Wang is most noted for designing what?,in-situ
Rene Nortz,What actress portrayed Audrey Hepburn in a 2000 made-for-TV movie?,wh-subject
Rene Nortz,Which of the following is currently at war with Russia in order to gain independence?,wh-subject
Rene Nortz,The Rh factor in human blood takes its name from what type of animal?,in-situ
Rene Nortz,What is a Foley Artist's job on a motion picture?,wh-subject
Rene Villegas,"A popular holiday song begins with the line ""I saw Mommy kissing"" whom?",in-situ
Rene Villegas,"Once used in offices, the Ditto machine was a predecessor of what modern device?",in-situ
Rene Villegas,"By definition, a toboggan is a long, narrow, what?",in-situ
Rene Villegas,"Invented in 1945 by engineer James Martin, an ejector seat is designed to eject people from what?",in-situ
Rene Villegas,"In a 1980's book, psychologist Dan Kiley coined what term to refer to men who won't grow up?",in-situ
Rene Villegas,"In 2003, NBC scored a surprising hit with ""Who Want to Marry My"" what?",in-situ
Rene Villegas,"In what sport do competitors traditionally wear a jacket and cap referred to as ""silks""?",ex-situ
Rene Villegas,The Island of Majorca is a popular European tourist destination belonging to what country?,in-situ
Rene Villegas,"In the 1999 movie ""The Matrix"", what is Neo's real name?",wh-subject
Rene Villegas,"Assuming full attendance, how many US Senators must vote for conviction in order to convict an impeached official?",wh-subject
Rene Villegas,"Apples, peaches and pears belong to the same botanical family as what flower?",in-situ
Renee Futrelle,"According to a popular saying, ""A house is not a"" what?",in-situ
Renee Futrelle,"When greeting someone, it is customary to grasp what part of his body?",in-situ
Renee Futrelle,"By definition, a desert oasis must contain which of the following?",in-situ
Renee Futrelle,"In the game Rock, Paper, Scissors, what beats paper?",wh-subject
Renee Futrelle,Which of these animals is a parasite?,wh-subject
Renee Futrelle,"On the TV series ""Charlie's Angels,"" who provided the voice of the never-seen Charlie?",wh-subject
Renee Futrelle,Which of these national parks is home to the largest trees in North America?,wh-subject
Renee Futrelle,"""Scapula"" is the anatomical term for which of these human bones?",in-situ
Renee Futrelle,"On February 12, 2001, a NASA spacecraft made a soft landing on what heavenly body?",in-situ
Renée Giorgi,"Not surprisingly, part of the classic cartoon ""How the Grinch Stole Christmas!"" features the Grinch wearing a what?",in-situ
Renée Giorgi,"The date May 8, 1945 is known to historians as ""V-E Day,"" a term in which the ""V"" stands for ""Victory"" and the ""E"" stands for what?",in-situ
Renée Giorgi,"A 2009 ""Women's Health"" article on ""bumpaholics"" profiled women who feel compelled to do what repeatedly?",in-situ
Renée Giorgi,"What U.S. state is depicted on a humorous T-shirt that reads ""California's Canada”?",wh-subject
Renée Giorgi,La Via Lactea is Spanish for what?,in-situ
